,delta,t1,tm,dir,sptree
83,0.01,20666.666666666668,6889.555555555556,P3 into P2,AB
84,0.01,20666.666666666668,9185.74074074074,P3 into P2,AB
85,0.01,20666.666666666668,11481.925925925927,P3 into P2,AB
86,0.01,20666.666666666668,13778.111111111111,P3 into P2,AB
87,0.01,20666.666666666668,16074.296296296296,P3 into P2,AB
88,0.01,20666.666666666668,18370.48148148148,P3 into P2,AB
89,0.01,20666.666666666668,20666.666666666668,P3 into P2,AB
90,0.01,23000.0,1.0,P3 into P2,AB
91,0.01,23000.0,2556.4444444444443,P3 into P2,AB
92,0.01,23000.0,5111.888888888889,P3 into P2,AB
93,0.01,23000.0,7667.333333333333,P3 into P2,AB
94,0.01,23000.0,10222.777777777777,P3 into P2,AB
95,0.01,23000.0,12778.222222222223,P3 into P2,AB
96,0.01,23000.0,15333.666666666666,P3 into P2,AB
97,0.01,23000.0,17889.11111111111,P3 into P2,AB
98,0.01,23000.0,20444.555555555555,P3 into P2,AB
99,0.01,23000.0,23000.0,P3 into P2,AB
100,0.10888888888888888,2000.0,1.0,P3 into P2,AB
101,0.10888888888888888,2000.0,223.11111111111111,P3 into P2,AB
102,0.10888888888888888,2000.0,445.22222222222223,P3 into P2,AB
103,0.10888888888888888,2000.0,667.3333333333334,P3 into P2,AB
104,0.10888888888888888,2000.0,889.4444444444445,P3 into P2,AB
105,0.10888888888888888,2000.0,1111.5555555555557,P3 into P2,AB
106,0.10888888888888888,2000.0,1333.6666666666667,P3 into P2,AB
107,0.10888888888888888,2000.0,1555.7777777777778,P3 into P2,AB
108,0.10888888888888888,2000.0,1777.888888888889,P3 into P2,AB
109,0.10888888888888888,2000.0,2000.0,P3 into P2,AB
110,0.10888888888888888,4333.333333333334,1.0,P3 into P2,AB
111,0.10888888888888888,4333.333333333334,482.37037037037044,P3 into P2,AB
112,0.10888888888888888,4333.333333333334,963.7407407407409,P3 into P2,AB
113,0.10888888888888888,4333.333333333334,1445.1111111111113,P3 into P2,AB
114,0.10888888888888888,4333.333333333334,1926.4814814814818,P3 into P2,AB
115,0.10888888888888888,4333.333333333334,2407.851851851852,P3 into P2,AB
116,0.10888888888888888,4333.333333333334,2889.2222222222226,P3 into P2,AB
117,0.10888888888888888,4333.333333333334,3370.592592592593,P3 into P2,AB
118,0.10888888888888888,4333.333333333334,3851.9629629629635,P3 into P2,AB
119,0.10888888888888888,4333.333333333334,4333.333333333334,P3 into P2,AB
120,0.10888888888888888,6666.666666666667,1.0,P3 into P2,AB
121,0.10888888888888888,6666.666666666667,741.6296296296297,P3 into P2,AB
122,0.10888888888888888,6666.666666666667,1482.2592592592594,P3 into P2,AB
123,0.10888888888888888,6666.666666666667,2222.888888888889,P3 into P2,AB
124,0.10888888888888888,6666.666666666667,2963.5185185185187,P3 into P2,AB
125,0.10888888888888888,6666.666666666667,3704.1481481481483,P3 into P2,AB
126,0.10888888888888888,6666.666666666667,4444.777777777778,P3 into P2,AB
127,0.10888888888888888,6666.666666666667,5185.407407407408,P3 into P2,AB
128,0.10888888888888888,6666.666666666667,5926.037037037037,P3 into P2,AB
129,0.10888888888888888,6666.666666666667,6666.666666666667,P3 into P2,AB
130,0.10888888888888888,9000.0,1.0,P3 into P2,AB
131,0.10888888888888888,9000.0,1000.8888888888889,P3 into P2,AB
132,0.10888888888888888,9000.0,2000.7777777777778,P3 into P2,AB
133,0.10888888888888888,9000.0,3000.666666666667,P3 into P2,AB
134,0.10888888888888888,9000.0,4000.5555555555557,P3 into P2,AB
135,0.10888888888888888,9000.0,5000.444444444444,P3 into P2,AB
136,0.10888888888888888,9000.0,6000.333333333334,P3 into P2,AB
137,0.10888888888888888,9000.0,7000.222222222223,P3 into P2,AB
138,0.10888888888888888,9000.0,8000.111111111111,P3 into P2,AB
139,0.10888888888888888,9000.0,9000.0,P3 into P2,AB
140,0.10888888888888888,11333.333333333334,1.0,P3 into P2,AB
141,0.10888888888888888,11333.333333333334,1260.1481481481483,P3 into P2,AB
142,0.10888888888888888,11333.333333333334,2519.2962962962965,P3 into P2,AB
143,0.10888888888888888,11333.333333333334,3778.444444444445,P3 into P2,AB
144,0.10888888888888888,11333.333333333334,5037.592592592593,P3 into P2,AB
145,0.10888888888888888,11333.333333333334,6296.740740740741,P3 into P2,AB
146,0.10888888888888888,11333.333333333334,7555.88888888889,P3 into P2,AB
147,0.10888888888888888,11333.333333333334,8815.037037037038,P3 into P2,AB
148,0.10888888888888888,11333.333333333334,10074.185185185186,P3 into P2,AB
149,0.10888888888888888,11333.333333333334,11333.333333333334,P3 into P2,AB
150,0.10888888888888888,13666.666666666668,1.0,P3 into P2,AB
151,0.10888888888888888,13666.666666666668,1519.4074074074076,P3 into P2,AB
152,0.10888888888888888,13666.666666666668,3037.8148148148152,P3 into P2,AB
153,0.10888888888888888,13666.666666666668,4556.222222222223,P3 into P2,AB
154,0.10888888888888888,13666.666666666668,6074.6296296296305,P3 into P2,AB
155,0.10888888888888888,13666.666666666668,7593.037037037038,P3 into P2,AB
156,0.10888888888888888,13666.666666666668,9111.444444444445,P3 into P2,AB
157,0.10888888888888888,13666.666666666668,10629.851851851854,P3 into P2,AB
158,0.10888888888888888,13666.666666666668,12148.259259259261,P3 into P2,AB
159,0.10888888888888888,13666.666666666668,13666.666666666668,P3 into P2,AB
160,0.10888888888888888,16000.0,1.0,P3 into P2,AB
161,0.10888888888888888,16000.0,1778.6666666666667,P3 into P2,AB
162,0.10888888888888888,16000.0,3556.3333333333335,P3 into P2,AB
163,0.10888888888888888,16000.0,5334.0,P3 into P2,AB
164,0.10888888888888888,16000.0,7111.666666666667,P3 into P2,AB
165,0.10888888888888888,16000.0,8889.333333333334,P3 into P2,AB
166,0.10888888888888888,16000.0,10667.0,P3 into P2,AB
167,0.10888888888888888,16000.0,12444.666666666668,P3 into P2,AB
168,0.10888888888888888,16000.0,14222.333333333334,P3 into P2,AB
169,0.10888888888888888,16000.0,16000.0,P3 into P2,AB
170,0.10888888888888888,18333.333333333336,1.0,P3 into P2,AB
171,0.10888888888888888,18333.333333333336,2037.925925925926,P3 into P2,AB
172,0.10888888888888888,18333.333333333336,4074.851851851852,P3 into P2,AB
173,0.10888888888888888,18333.333333333336,6111.777777777778,P3 into P2,AB
174,0.10888888888888888,18333.333333333336,8148.703703703704,P3 into P2,AB
175,0.10888888888888888,18333.333333333336,10185.629629629631,P3 into P2,AB
176,0.10888888888888888,18333.333333333336,12222.555555555557,P3 into P2,AB
177,0.10888888888888888,18333.333333333336,14259.481481481482,P3 into P2,AB
178,0.10888888888888888,18333.333333333336,16296.407407407409,P3 into P2,AB
179,0.10888888888888888,18333.333333333336,18333.333333333336,P3 into P2,AB
180,0.10888888888888888,20666.666666666668,1.0,P3 into P2,AB
181,0.10888888888888888,20666.666666666668,2297.185185185185,P3 into P2,AB
182,0.10888888888888888,20666.666666666668,4593.37037037037,P3 into P2,AB
183,0.10888888888888888,20666.666666666668,6889.555555555556,P3 into P2,AB
184,0.10888888888888888,20666.666666666668,9185.74074074074,P3 into P2,AB
185,0.10888888888888888,20666.666666666668,11481.925925925927,P3 into P2,AB
186,0.10888888888888888,20666.666666666668,13778.111111111111,P3 into P2,AB
187,0.10888888888888888,20666.666666666668,16074.296296296296,P3 into P2,AB
188,0.10888888888888888,20666.666666666668,18370.48148148148,P3 into P2,AB
189,0.10888888888888888,20666.666666666668,20666.666666666668,P3 into P2,AB
190,0.10888888888888888,23000.0,1.0,P3 into P2,AB
191,0.10888888888888888,23000.0,2556.4444444444443,P3 into P2,AB
192,0.10888888888888888,23000.0,5111.888888888889,P3 into P2,AB
193,0.10888888888888888,23000.0,7667.333333333333,P3 into P2,AB
194,0.10888888888888888,23000.0,10222.777777777777,P3 into P2,AB
195,0.10888888888888888,23000.0,12778.222222222223,P3 into P2,AB
196,0.10888888888888888,23000.0,15333.666666666666,P3 into P2,AB
197,0.10888888888888888,23000.0,17889.11111111111,P3 into P2,AB
198,0.10888888888888888,23000.0,20444.555555555555,P3 into P2,AB
